"model","avg_depdelay"
"747-422",9.07692307692308
"737-832",15.4179197216354
"767-33A",15.5494505494505
"767-432ER",16.2751009421265
"A320-211",16.3188405797101
"757-232",17.4319580166486
"A319-111",17.8372476308199
"757-351",18.4167450611477
"A320-212",18.5555555555556
"767-332",19.1702679343129
"767-424ER",20.0729166666667
"767-224",20.4910979228487
"737-990",20.8192599620493
"777-224",20.8461538461538
"A319-114",21.0225667527993
"737-924",21.1678060907396
"A319-112",21.8609735973597
"A320-214",22.544776119403
"A320-232",22.8661548304543
"777-222",23.3411093831001
"767-3CB",23.5740740740741
"737-824",23.7965554359526
"737-790",24.4041733547352
"757-324",25.0173880873104
"737-890",25.2280049566295
"757-251",27.1705882352941
"757-224",27.2310969116081
"737-7BD",28.5954157782516
"A319-132",28.9690033381021
"737-8FH",29.3038674033149
"737-76N",29.4411007721243
"A319-131",29.6207932692308
"CL-600-2C10",30.2519741054279
"EMB-145LR",30.5518483317493
"EMB-145XR",32.1462444427112
"CL-600-2B19",33.6359414076456
"767-322",34.6014440433213
"ERJ 190-100 IGW",41.7239583333333
"717-200",44.1374179431072
"A330-223",55.8
